Serbia	 male	35-54 	0.171463
Serbia	 female	5-14 	0.000801
Serbia	 male	5-14 	0.002078
Serbia	 female	55-74 	0.078264
Serbia	 male	55-74 	0.266243
Serbia	 female	75+ 	0.153549
Serbia	 male	75+ 	0.589339
Seychelles	 female	15-24 	0.045235
Seychelles	 male	15-24 	0.108904
Seychelles	 female	25-34 	0.032149
Seychelles	 male	25-34 	0.118283
Seychelles	 female	35-54 	0.016363
Seychelles	 male	35-54 	0.088538
Seychelles	 female	5-14 	0.000000
Seychelles	 male	5-14 	0.000000
Seychelles	 female	55-74 	0.000000
Seychelles	 male	55-74 	0.178250
Seychelles	 female	75+ 	0.000000
Seychelles	 male	75+ 	0.000000
Singapore	 female	15-24 	0.032699
Singapore	 male	15-24 	0.061110
Singapore	 female	25-34 	0.033166
Singapore	 male	25-34 	0.078479
Singapore	 female	35-54 	0.045467
Singapore	 male	35-54 	0.088654
Singapore	 female	5-14 	0.002440
Singapore	 male	5-14 	0.003613
Singapore	 female	55-74 	0.053970
Singapore	 male	55-74 	0.153849
Singapore	 female	75+ 	0.089186
Singapore	 male	75+ 	0.242554
Slovenia	 female	15-24 	0.019330
Slovenia	 male	15-24 	0.115110
Slovenia	 female	25-34 	0.026957
Slovenia	 male	25-34 	0.153855
Slovenia	 female	35-54 	0.050061
Slovenia	 male	35-54 	0.254914
Slovenia	 female	5-14 	0.000000
Slovenia	 male	5-14 	0.007138
Slovenia	 female	55-74 	0.093985
